date;count_1;count_2;count_3;count_4;amount_1;amount_2;amount_3;count_5;count_6;count_7;amount_4;type;response
28.01.2017;76;13;90;90;572519.82;292519.81999999995;280000.0;4;12.0;64;292519.81999999995;O;0
23.10.2016;170;31;92;91;572616.5599999999;243377.02999999997;329239.52999999997;4;19.0;143;222077.03000000003;O;1
03.10.2017;330;37;86;86;572666.1;310469.1;262197.0;4;24.0;302;304069.0999999999;A;0
10.04.2017;147;32;90;89;572762.514;427691.824;145070.68999999994;4;8.0;131;302691.8239999999;A;1
02.11.2016;75;20;69;56;572886.5700000001;348596.57000000007;224290.0;3;7.0;64;223417.57;A;0
04.03.2017;2;2;2;0;573.0;223.0;350.0;1;0.0;1;223.0;O;1
12.04.2017;78;20;67;61;573063.966;119515.06600000005;453548.89999999997;3;20.0;57;119515.066;O;1
12.04.2017;22;9;131;82;573082.69;97932.68999999997;475150.0;5;2.0;12;18932.69;CC;1
13.12.2016;186;29;90;90;573105.8900000001;280144.8900000001;292961.00000000006;3;18.0;141;260644.89;F;0
10.07.2017;104;26;92;92;573265.7488;573205.7488;60.0;4;0.0;60;136505.74880000006;A;1
22.06.2017;329;14;92;92;573756.75;166186.75;407570.0;4;31.0;297;166186.75000000003;O;0
04.06.2017;223;26;91;91;573990.2853999999;573990.2853999999;0.0;4;0.0;197;301990.2854;O;1
19.08.2017;132;29;78;78;574940.19;151940.18999999994;423000.0;4;11.0;118;147040.18999999994;O;0
07.03.2017;20;11;85;62;574991.8;110991.80000000002;464000.0;4;6.0;12;70991.8;D;1
13.12.2017;159;35;91;91;575084.0169;567574.3169;7509.70000000007;4;0.0;147;465574.31690000003;O;1
26.02.2017;259;22;90;90;575373.57;283273.56999999995;292100.0;4;43.0;200;248023.56999999992;O;1
10.08.2017;233;30;92;92;575513.11;290013.11;285500.0;4;23.0;207;287013.11000000004;D;1
31.07.2017;112;16;92;91;575565.3500000001;565656.25;9909.100000000093;4;0.0;94;318661.75;O;1
07.03.2017;41;13;80;42;575655.7;214753.69999999998;360902.0;4;7.0;32;214753.7;F;1
13.11.2016;81;27;87;87;575844.1499999999;305057.14999999997;270786.99999999994;3;13.0;59;184757.15;O;0
19.04.2017;156;17;89;89;576070.38;290770.38;285300.0;4;7.0;142;246970.37999999998;O;0
27.10.2016;36;5;88;63;576151.0;325421.0;250730.0;4;16.0;15;204183.0;A;0
20.12.2016;56;7;91;91;576290.91;574090.05;2200.859999999986;4;0.0;34;101090.05000000002;A;1
21.12.2016;6;4;15;15;5764.0;5764.0;0.0;1;0.0;6;5764.0;O;0
20.07.2017;14;3;96;0;576410.0;496410.0;80000.0;4;1.0;1;1410.0;AA;1
03.08.2017;114;25;86;86;576625.9995;575605.9995;1020.0;4;0.0;101;367950.20950000006;A;1
29.01.2017;340;32;92;92;576712.55;291663.55000000005;285049.0;4;54.0;277;247938.54999999993;O;1
13.07.2017;135;12;78;75;577044.26;301254.26;275790.0;3;24.0;101;293604.25999999995;CC;0
19.05.2017;272;32;91;86;577394.8451;571943.8451;5451.0;4;1.0;217;260717.84509999995;AA;1
27.12.2016;118;25;90;90;577746.9034;577746.9034;0.0;4;0.0;87;419911.9034000001;O;1
30.09.2017;154;37;92;92;577808.27;562651.47;15156.800000000047;4;0.0;135;369996.53;BBB;1
12.06.2017;59;18;91;91;577951.6699999999;577951.6699999999;0.0;4;0.0;48;252951.67;O;1
25.08.2017;72;9;73;40;578016.86;288242.17;289774.69;3;4.0;56;135842.16999999998;A;0
09.07.2017;322;41;92;64;578572.31;471252.15;107320.16000000003;4;2.0;292;215888.8999999999;F;0
26.06.2017;59;18;92;88;578577.01;428577.01;150000.0;4;1.0;49;81677.01;O;1
12.11.2016;3;3;6;4;5788.7;5788.7;0.0;1;0.0;2;788.7;O;0
29.12.2016;6;3;28;0;57890.0;29890.0;28000.0;2;3.0;1;27990.0;A;0
18.04.2017;201;27;89;89;579153.4099999999;288613.41;290539.99999999994;4;19.0;180;286613.4099999999;O;1
10.08.2017;7;3;37;0;57958.600000000006;29120.300000000003;28838.300000000003;2;3.0;2;28100.0;CC;0
05.01.2017;39;18;76;76;579936.02;369936.02;210000.0;4;5.0;34;369936.02;O;0
30.03.2017;32;14;85;19;580694.355;356954.775;223739.57999999996;3;6.0;23;156954.775;A;0
03.10.2017;48;12;108;91;580781.6;580781.6;0.0;5;0.0;24;209381.6;O;1
22.06.2017;106;28;80;64;581048.0196;284048.0196;297000.0;4;1.0;88;209048.0196;CC;0
14.02.2017;7;6;15;8;58144.67;7144.669999999998;51000.0;1;2.0;4;6144.67;D;0
11.05.2017;261;23;91;91;581445.3899999999;580295.3899999999;1150.0;4;0.0;222;184126.1;O;1
31.01.2017;173;27;90;90;581834.19;307283.18999999994;274551.0;4;26.0;126;282983.19;O;0
20.07.2017;234;36;92;92;581856.8;520737.80000000005;61119.0;4;1.0;218;365737.8;O;1
20.06.2017;201;26;91;91;582113.8885;582113.8885;0.0;4;0.0;185;270472.38849999994;O;1
20.02.2017;101;18;85;85;582175.31;258413.50000000003;323761.81000000006;4;12.0;86;222413.5;O;0
06.03.2017;17;4;56;31;582237.0;295566.0;286671.0;3;4.0;3;143096.0;A;0
18.01.2017;163;23;109;92;582244.2;417344.19999999995;164900.0;4;1.0;115;96944.2;F;1
19.07.2017;38;17;85;60;583069.097;450569.09699999995;132500.0;4;6.0;23;334479.097;A;1
11.04.2017;350;18;92;92;583264.3999999999;280864.39999999997;302399.99999999994;4;17.0;331;274864.4;O;1
12.08.2017;266;37;97;92;583298.97;436619.97;146679.0;4;2.0;247;397764.9699999999;O;1
25.10.2016;41;13;95;84;583459.92;298721.29000000004;284738.63;4;6.0;28;280621.29000000004;A;0
22.01.2017;76;12;105;90;583475.79;583475.79;0.0;4;0.0;57;462775.79000000004;O;1
